NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
618,4995,618,4250,183.496,746,9,1
619,11805,619,10306,184.368,1500,19,1
620,4563,620,3996,184.59,568,9,0
621,4642,621,4052,184.921,591,8,0
622,6181,622,5352,185.195,830,22,1
623,4701,623,4035,185.435,667,13,0
624,3968,624,3466,185.677,503,6,0
625,5298,625,4607,185.88,692,14,1
626,3678,626,3143,186.068,536,7,0
627,4983,627,4265,186.446,719,9,1
628,5361,628,4717,186.745,645,17,1
629,4568,629,3986,186.923,583,7,0
630,4148,630,3575,187.049,574,15,1
631,4779,631,4146,187.278,634,14,0
632,4014,632,3489,187.503,526,8,0
633,4166,633,3661,187.755,506,23,1
634,4155,634,3604,187.954,552,14,0
635,3449,635,2936,188.181,514,7,0
636,4281,636,3673,188.371,609,11,1
637,3699,637,3174,188.605,526,12,0
638,4278,638,3765,188.843,514,4,0
639,4146,639,3599,189.035,548,15,1
640,4031,640,3517,189.28,515,9,0
641,6786,641,5949,189.61,838,23,1
642,4095,642,3571,189.796,525,24,0
643,3999,643,3462,190.02,538,9,0
644,3909,644,3368,190.251,542,13,1
645,4158,645,3647,190.5,512,6,0
646,5400,646,4685,190.818,716,19,1
647,4590,647,3974,191.101,617,16,0
648,3515,648,2990,191.276,526,9,0
649,5788,649,5071,191.59,718,15,1
650,3465,650,2957,191.796,509,8,0
651,4315,651,3755,192,561,15,1
652,3894,652,3389,192.225,506,5,0
653,5263,653,4507,192.531,757,11,1
654,3862,654,3347,192.731,516,3,0
655,4399,655,3826,192.98,574,22,1
656,3670,656,3164,193.156,507,16,0
657,5016,657,4403,193.423,614,9,0
658,4284,658,3740,193.668,545,21,1
659,3324,659,2812,193.875,513,14,0
660,3461,660,2945,194.03,517,11,0
661,3805,661,3293,194.236,513,22,0
662,5942,662,5099,194.548,844,9,0
663,5168,663,4428,194.836,741,11,0
664,4001,664,3420,195.109,582,7,0
665,5351,665,4701,195.37,651,14,1
666,3782,666,3252,195.524,531,6,0
667,3344,667,2843,195.761,502,12,1
668,9192,668,8041,196.357,1152,30,1
669,5689,669,4938,196.719,752,17,0
670,3627,670,3103,196.919,525,16,0
671,5108,671,4416,197.247,693,28,0
672,3864,672,3281,197.454,584,12,0
673,4416,673,3856,197.679,561,23,1
674,5366,674,4646,197.991,721,10,0
675,4686,675,4063,198.236,624,11,1
676,3667,676,3155,198.431,513,6,0
677,6499,677,5549,198.873,951,11,1
678,4608,678,3995,199.106,614,20,1
679,3810,679,3296,199.293,515,9,0
680,3902,680,3382,199.55,521,1,0
681,4624,681,4014,199.783,611,32,1
682,5854,682,5189,200.118,666,28,0
683,7050,683,6050,200.565,1001,20,0
684,3752,684,3252,200.766,501,9,0
685,5100,685,4434,201.011,667,15,1
686,4471,686,3850,201.255,622,7,0
687,3875,687,3315,201.482,561,17,1
688,4186,688,3652,201.751,535,7,0
689,4956,689,4285,202.109,672,19,1
690,4758,690,4182,202.417,577,10,0
691,7774,691,6823,202.979,952,22,1
692,4578,692,3903,203.2,676,12,0
693,8889,693,7773,203.788,1117,14,1
694,3387,694,2886,203.975,502,4,0
695,4205,695,3607,204.195,599,12,1
696,4370,696,3810,204.361,561,18,1
697,3861,697,3356,204.559,506,10,0
698,4627,698,3995,204.779,633,9,0
699,4576,699,3990,204.998,587,25,1
700,4905,700,4290,205.287,616,19,0
701,4288,701,3765,205.54,524,3,0
702,4513,702,3946,205.686,568,22,1
703,3683,703,3176,205.858,508,13,0
